刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
减肥半个月，胖了2斤	那很好啊,体重根本就没有增长，现在的两斤完全是因为特殊原因。这说明减肥非常有成效呢加上运动的效果皮肤会更好吧！再坚持坚持，一定能看到曙光呢!
我把潇洒飘逸的腿毛刮了	整个人都轻盈了呢！
我都140斤了，还是忍不住吃了烧烤	能吃是福哇~但是呢，也要保重自己的身体才能健康快乐成长喔！
研究生读了快一年觉得自己就是不会做学术	你已经很棒啦！！这可是研究生啊！！！
今天没有吃辣椒	你的肠胃也过了很开心的一天呢，真好！
我今天只花了9块5	真厉害，离发财致富又进了一步。
今天也是想家的一天	年轻的你像八九点钟的太阳！
女朋友说我是舔狗，我该怎么办	舔是一门艺术！得看你怎么舔！舔哪里！只要心中有梦！我相信你会舔的更好！加油！
算塔罗牌说我没有爱情！	除了“命”，“运”也很重要呀！更好地生活，更好地工作和学习，让自己变得更加优秀！人生还有很多种可能性，除了爱情还有很多你可以去获取的东西！而且塔罗的解读也有很多种哒，你可能只是这个阶段没有而已！！
表白虽然失败了但是我觉得自己很棒	你真的好棒哎！很主动很积极有很有分寸！是人格非常健康的小可爱！
运动和看书了！想被夸奖！	从内到外都透着努力的味道。真是太棒棒了！
今天除了皮什么也没干	皮皮很健康
可是生活好难啊	生活这么难，你都撑过小半程了，这么厉害的你自己，难得不值得拥有一个美好的未来吗
看得见的食品安全，表扬我们学校	贵校后勤将学生至上，关注食品安全，为学生营造干净明亮的用餐环境。祝你们都能学有所成，回报母校！
我拼完了1000快拼图	哇，好厉害！羡慕你这么有毅力有执行力，向你学习！
今天除了看剧啥也没干	你今天很好地放松了释放了平时的压力之后你会更棒的
今天去逛街了只花了不到一百块	在这个物欲横流的世界能够抵制住花花世界的诱惑的你真是太棒了
证券从业资格考试挂了	人生有很多不可控的偶然性，自身的态度决定结果的必然性。打起精神，重头再来！
今天又加班了	你是社会主义的螺丝钉，雷锋当代继承人
今天在学校操场跑了4000米	今天跑道与你相处了跑4000米所花费的时间，真是它的荣幸
今天冲去食堂速度特别快	风一样的少年，速度是你的天赋
不会爱也不懂爱，好多遗憾	从无到有是一个过程，你已经意识到问题了，这是觉醒的开始呀
我跳绳1300下	你怎么这么厉害，完全就是运动员呀
今天和团队的师哥师姐一起吃了饭	你太棒啦！一步一步慢慢来，会越来越好哒
做朋友厚颜无耻的舔狗	你怎么这么可爱呀！谁这么幸运有你这样的朋友
找不到工作，快死了	普通人都这样，你能直面自己的不足，一定会进步的
分手一个月不到做了很多没做过的事情	你这么棒一定会遇到很多喜欢你的人的！你可别挑花眼了啊！
一年多没上班现在出去有点社交恐惧	嘻嘻，你是不是怕自己这一年变得太好了吓到他们了呀！每个人都会爱这么在乎他人感受的你的呢！
领导给我加薪了！	好棒！一定是你做的很好，老板想要留住你，继续加油呀！
觉得自己特别有才华	就是觉得自己有才华啊，就这个才华，觉得就是才华
在床上躺了一天	低碳生活你真棒
哭了一下午，考研失败	能坚持到现在，拿到一个原本很稳妥的分数，说明你已经比很多人优秀了，相信不管你接下来选择什么路，都能继续闪闪发光。因为你真的真的很不错！不要担心，勇敢地走花路吧。
今天启用了烤箱	好厉害啊，我都不会用烤箱呢！
学雷锋做好事	哇塞，真是勤劳有爱心啊，你就是雷锋精神的传播小天使，向你学习。
我做的兔兔卷请大家了解一下	你绝对是个天才！而且也一定很可爱！
两年胖了30斤	看来消化系统蛮好的营养吸收很棒啊！
要被裁员了	大部分员工都是遇到问题甩手走人，而你陪公司走到最后。你坚毅勇敢持之以恒，公司应该感谢你
二战也失败准备三战了	败而不馁，这样的精神是写在成功人士手册上的吧！
改变自己脾气的第一天	能克制自己是很了不起的事呢！相信你一定可以坚持下去！
在互相辱骂区被人骂了	我从你身上看到了人类缺乏的特质:好奇心与耐挫力。
突然开始嫉妒别人怎么办	说明你会有前进的动力哈。
在坚持做着一件我喜欢的事情	哇！你有喜欢的事情！听起来你就像在发光呢！好羡慕啊！太棒了吧！
明天就要答辩了很慌	好歹你已经撑到答辩了呢！咬咬牙，很快就可以毕业啦！
今天连续上了两堂高数课，一秒钟都没有看手机！	天哪！太厉害了吧！这比减肥还要难做到！
休学回来加入新班级，每次看到大家都有伴我孤零零...	一个人不算什么的，独来独往是个性，你超酷的。而且你都走过那么长一段路了，眼前又算得了什么呢。
吃了好好吃的酸菜鱼	挑到美食说明你眼光很好嘛！
终于下定决心离开不值得的人啦	你离幸福又近了一大步，快了快了，幸福来敲门了
终于决定要剁手第一台相机了！！！	很厉害啦说不定有一天会变成小摄影家！什么美好都能被你捕捉！
我们工资低怎么办？	说明你人老实啊，单纯呀！棒棒哒！加油！
不喜欢天天下雨	身在阴影里却向往阳光，你就像向日葵一样，给你无限的希望。
今天跟上司吵了一架	很厉害啊多少人做不到的事你做到了
今天没赚到钱，但是继续努力	总有一天会赚到的，而那天不远就会到了。
今天英语考得好差	别难过啦，生活不就是这样让我们没有掌控感嘛，如果什么事情都能预料到那就太无趣啦，我们可以给自己难过的时间，但是还是要加油向前走哦！也许经过再多一段时间的知识积累，下次就会有一张令人惊喜的答卷！
节食破功了	你的身体肯定很开心，终于不用挨饿了
身份证又丢了第三个了	哈哈哈哈你是那种哎呀小笨蛋类型的人吗！真可爱呀
因为太胖被分手的我	总有一天你会遇到一个觉得你胖也很可爱的人
写小说很多年，没什么拿得出手的作品。	坚持真的是一件很难的事情，但是你做到了，很厉害啊！
没有洗头出门	真的猛士敢于直面没化妆的脸，敢于正视没有洗的头。
六级差两分就过了	竟然只差2分？说明你的水平已经很棒了！！！
被发了好人卡，一个人在办公室哭	心理素质真的很好，面对不好的结局依然能强忍伤心微笑说再见，你真的很棒。
今天第一次做了雪花酥	我很想吃！我不会做！所以对只会吃的我来说会做美食的人都是牛逼的天才。
与黄牛斗智斗勇两个多月，终于把钱要回来了	你的行为捍卫了消费者的权益，在息事宁人的大环境下给这些不法分子好好的上了一课，传播了法律精神，提高了大家的维权意识，而且目前法律空白还很多，就需要更多的实践去填补，所有人都是受益者，向你的努力表达感谢。
我的人生是个笑话	抱抱你一定很绝望吧，好像世界都离自己而去了，对吧。嘛，既然都低到泥土里，还有什么好怕？任何改变都是向上了呀！来起来跑一圈，然后跑着去心理咨询室，就算是小草，风吹了就能发芽，有阳光就会开花的
对表达怀有耻感，是成长最大的敌人	对成长有如此清晰的认识，也算是一种成长啦!一个人首先要认识到问题，才能改变这个问题哦。所以你很勇敢地迈出了第一步，接下来请继续加油!
考完博士了！	踏上考博这条路并最终在考场上顶住压力尽力而为的你，真的很优秀！
豆瓣上没有一个人关注我	低调而内心丰富，却不张扬的性格就凭这点你就很棒！
摄影小白的点滴记录	你好，请出个摄影教程。
感觉坚持不下去了	一起都会好的呢黎明前最黑暗呢。
连续三天发烧，️但还是每天去上课了	这大概是我看到最励志的故事了，你也太棒了吧，抱抱！
考了两年驾考	常言道，慢工出细活，就算没过也没白耽误工夫，基础更扎实了。等以后拿到本了，比一般人的含金量更高。
被自己蠢哭了！！	愚蠢之人必有它可爱之处。
好久没打游戏了	你非常有意志力！太棒了！
每天坚持背单词，求表扬	这个不仅锻炼了自控力还能学到东西能力不是很很容易坚持下来的，了不起了不起
终于有入职电话了	也不能要求每一个慧眼识英雄的主公都跟曹操那么阔气，刘备虽然是扎席子的可起码识货，你的个人价值是毋庸置疑的。
我会发豆芽和发亚麻籽芽	一定是心灵手巧的你才能种出这么可爱的豆芽了呢！
今天违规犯傻,扇了自己20个巴掌	打肿了不好看吧，但还是钦佩你说到打到
勇敢地清理了死老鼠	好厉害！真的很佩服！
努力克服拖延的我	你好棒棒啊！要向你学习！！！！！！！
今天又没起来晨跑了	被你的远大志向深深折服了，你跟梦想的距离只差开门出发。
我写不出来稿子	尽力就好了，写不出来没什么大不了的，你已经很棒了。
我剪短发了	喜欢你的干脆利落果断哦，肯定是个了不起的人呢。
虽然我九点半才起，但是我醒的早啊	你的生命比别人多开个副本，你的床头比别人多站了个天使，你是上帝他闺女。
刚刚战胜懒癌去操场走了七圈	村上春树说:身体是每个人的神殿，不管里面供奉的是什么，都应该好好保持她的强韧，美丽和清洁。我说，当你犯懒的时候，只要勇于迈出双腿，后面的都不是个事。
